# Constructed from biom file
#OTU ID	D.MGU.15	D.NRR.9	L.MR02.C15	U.GLC.22	U.MR.33	U.OLI.27
d4ffee89f72cc047da833d3e2279f7e5	767.0	39616.0	41550.0	657253.0	764.0	399.0
4b54ca7238f26d9f9d98dc059bbf4ae1	81.0	31.0	1385.0	0.0	154923.0	0.0
76d83e323baca31cfa0c8b2f6256c058	162.0	85964.0	59.0	31093.0	146.0	16186.0
366740d587f49e93540cfd17bf7a8589	0.0	0.0	0.0	14.0	49177.0	6.0
b9dcb4427c7b56685a01fa5e3c6c3de7	0.0	0.0	41627.0	0.0	0.0	0.0
4ef3d05269c762db631f033432d48b23	0.0	0.0	0.0	0.0	27355.0	0.0
d5160795ed8aa5b41936b4c6e9baf945	9092.0	0.0	0.0	1208.0	0.0	3554.0
227de191719e08e7113a9838a21e9eae	0.0	0.0	0.0	12963.0	0.0	0.0
2e60a2b63ef994fe9a9f8de5efe538c2	0.0	0.0	766.0	0.0	11245.0	0.0
e4c1140de6c8dcc7b96e85ee27324703	0.0	0.0	11785.0	0.0	0.0	0.0
7ed31dbe85fbd96aaca57c9a97297a8c	0.0	0.0	0.0	0.0	11462.0	0.0
17975932a145af1dcefd23af7fef3676	0.0	0.0	8099.0	141.0	0.0	2645.0
144e0f904466e97d868b011a2ef6ac30	8203.0	0.0	1108.0	161.0	1048.0	0.0
94b8926a61638de3b2db72c5e4541888	0.0	8906.0	0.0	0.0	0.0	0.0
4fe87e35cf7ae713757eba128fee8fb9	532.0	7776.0	0.0	335.0	0.0	0.0
ce575984cd6c78f7d9848bad660a30a5	5645.0	0.0	0.0	0.0	0.0	2843.0
de7eab2d7b7fbdb8f4d83f2026184c57	0.0	0.0	0.0	0.0	8065.0	0.0
7441b8b6b147a2e78811276ef1cb5e1c	0.0	0.0	7932.0	0.0	0.0	0.0
5c76bdf5d4af155634aae61fcd866804	0.0	0.0	0.0	0.0	7862.0	0.0
1e84d7e01a0c760e53e6176f37fe8c5d	5073.0	0.0	0.0	0.0	0.0	2389.0
a73ac646449ce1fcd1ae3cf517d4ef71	246.0	0.0	6909.0	0.0	0.0	0.0
b38e7a9da07681b45409e5f3897cf4d8	0.0	0.0	7072.0	0.0	0.0	0.0
1d64e7946849090f751f5591cb0557c4	0.0	0.0	6807.0	0.0	0.0	0.0
44dcf801793a83bd14e95896ab3d0223	0.0	0.0	6611.0	0.0	0.0	0.0
0ae3eee7448ed15bd415993a723b41d3	0.0	6603.0	0.0	0.0	0.0	0.0
0d4f31238c0dc868f1937f847ef3fe69	0.0	0.0	0.0	0.0	6526.0	0.0
cc6a2264fc8482d82a13ea7d90ac4dc3	0.0	6136.0	0.0	0.0	0.0	0.0
1b8b7777a41f8df1fa31f24792d16b86	0.0	0.0	0.0	6075.0	0.0	0.0
93be317507558974074f66ccc8f5cc61	1418.0	0.0	4578.0	0.0	0.0	0.0
bb06a26a66a89b4f6e754a234c53f1db	2186.0	0.0	0.0	0.0	3312.0	485.0
3797fcd3b70d5f76073ad76416d13bff	0.0	0.0	5978.0	0.0	0.0	0.0
321ae7b549a459fe1e7ddccf19c6dafa	4219.0	0.0	0.0	50.0	0.0	1694.0
4a3cff44d52d6d834c4449dc630530b2	0.0	5960.0	0.0	0.0	0.0	0.0
9824e4cc98eb2588552aafcfcf339eec	0.0	0.0	5820.0	0.0	0.0	0.0
f2e9c4d09183997ce7cdab5a93686b4c	0.0	5173.0	0.0	0.0	0.0	505.0
0e699727f10ebe44242861c8013d3e5b	0.0	0.0	5607.0	0.0	0.0	0.0
04a75f1199d1bc6b58d19dd8aeb24520	0.0	4610.0	986.0	0.0	0.0	0.0
db513e1bd972359f43803ee3a3f8821e	0.0	0.0	0.0	0.0	5530.0	0.0
8358c10c13eaddb5976041b3e9a827cb	0.0	0.0	5528.0	0.0	0.0	0.0
5492b1f3c6a8bd2b32a2d0e68c7845cb	0.0	5524.0	0.0	0.0	0.0	0.0
07736772433de91879745c3e83aa34ab	0.0	0.0	0.0	0.0	5455.0	0.0
ad6e78c47a9460f6867d85c9809e4d35	0.0	0.0	5445.0	0.0	0.0	0.0
74168c5a2a1d3908ae486b29c43437f9	2499.0	0.0	0.0	426.0	0.0	2519.0
9bc0b5e10b8f7b9b3afa4d374f6f7500	0.0	0.0	108.0	1414.0	0.0	3879.0
